,emotion,statements,gender,mfcc
datasources\EMO_DB\EMO_DB_DATA\wav\14b10Nb.wav,neutral,It will be in the place where we always put it,female,"[-296.36395263671875, 162.0071258544922, -2.358466386795044, 12.920064926147461, 49.27650451660156, 13.995223045349121, 8.341780662536621, 23.93037223815918, 6.441477298736572, -2.148737907409668, 7.904890060424805, 5.098834037780762, 1.7119349241256714, 1.1064764261245728, -7.640172958374023, -7.720898151397705, 0.7867015600204468, 0.3537418246269226, -3.1902666091918945, -4.850750923156738]"
datasources\EMO_DB\EMO_DB_DATA\wav\14b10Tc.wav,sadness,It will be in the place where we always put it,female,"[-339.1658020019531, 155.07168579101562, -8.313019752502441, 14.070874214172363, 43.937652587890625, 6.3797926902771, 12.897359848022461, 27.773204803466797, 3.798924684524536, 4.380132675170898, 16.305133819580078, 2.957993984222412, 3.8294925689697266, 10.893791198730469, -5.0607428550720215, -7.933235168457031, 5.926396369934082, 3.542125701904297, -1.8024603128433228, -0.5279451608657837]"
datasources\EMO_DB\EMO_DB_DATA\wav\14b10Wc.wav,anger,It will be in the place where we always put it,female,"[-355.0899353027344, 161.3331756591797, -37.043636322021484, -7.882279872894287, 42.50004196166992, 3.531505823135376, 0.607980489730835, 17.00330924987793, -3.2773499488830566, -6.920239448547363, 3.377204656600952, -1.8604239225387573, 1.324954867362976, 0.6286810636520386, -13.967910766601562, -8.206128120422363, 3.1110899448394775, -5.022570610046387, -7.339800834655762, -3.8446648120880127]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a01Ea.wav,disgust,The tablecloth is lying on the fridge,male,"[-297.2015075683594, 175.08033752441406, -39.48379898071289, -0.8191841244697571, 42.000308990478516, -9.966525077819824, 0.9869471192359924, 27.361400604248047, 1.2783669233322144, 3.1153159141540527, 16.32981300354004, -3.6021804809570312, -4.257571220397949, 7.5439372062683105, -3.672586679458618, -5.305029392242432, 1.2573585510253906, -4.380251884460449, 0.7765809297561646, 5.664454936981201]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a01Fb.wav,happiness,The tablecloth is lying on the fridge,male,"[-346.6641540527344, 168.19894409179688, -35.23114013671875, -10.056114196777344, 31.435707092285156, -8.744973182678223, -4.061287879943848, 11.695261001586914, -7.795769214630127, 0.9997466802597046, 11.949800491333008, -4.96079158782959, 1.5826717615127563, 8.62935733795166, -14.138320922851562, -13.162834167480469, 5.595116138458252, -1.5006210803985596, -6.0702080726623535, 1.4403005838394165]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a01La.wav,boredom,The tablecloth is lying on the fridge,male,"[-277.117431640625, 190.16770935058594, -23.418310165405273, 0.2216561734676361, 41.546043395996094, -0.947380006313324, 5.089364528656006, 21.889083862304688, -2.0197150707244873, 4.313622951507568, 17.97673225402832, 2.36527681350708, 8.007364273071289, 14.845539093017578, -8.121747016906738, -7.861284255981445, 7.9470744132995605, -2.55830979347229, -2.371636152267456, 13.239832878112793]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a01Nb.wav,neutral,The tablecloth is lying on the fridge,male,"[-329.95654296875, 195.77740478515625, -28.138002395629883, -4.146386623382568, 43.78813552856445, 2.7411696910858154, 4.356293678283691, 18.43081283569336, -3.272961139678955, 5.782867431640625, 18.743911743164062, 0.2816527485847473, 4.641996383666992, 14.141568183898926, -5.887369632720947, -7.657771587371826, 6.09140682220459, -1.5398391485214233, -2.0627071857452393, 7.582945346832275]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a01Wa.wav,anger,The tablecloth is lying on the fridge,male,"[-336.2829895019531, 149.5009002685547, -50.676631927490234, -12.247797012329102, 27.7142391204834, -21.002525329589844, -8.65969181060791, 16.692834854125977, -8.743398666381836, -8.372663497924805, 3.2459514141082764, -9.743756294250488, -0.8066099286079407, 8.914702415466309, -11.587631225585938, -13.21761417388916, 1.3232918977737427, -3.065537214279175, -3.4210879802703857, 0.8284067511558533]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a02Ac.wav,anxiety/fear,She wants to hand that in on Wednesday,male,"[-310.25048828125, 150.45272827148438, -29.085613250732422, 0.24879087507724762, 38.22758483886719, -1.8636471033096313, 3.88700270652771, 21.166179656982422, -0.3106919229030609, 3.3339121341705322, 14.110528945922852, -2.1982061862945557, 1.52313232421875, 11.868873596191406, -5.989315509796143, -10.75455093383789, 2.9858124256134033, 0.859149694442749, -2.1179299354553223, 0.7505667805671692]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a02Ea.wav,disgust,She wants to hand that in on Wednesday,male,"[-298.8164978027344, 166.43756103515625, -38.95758056640625, 8.565116882324219, 49.72358322143555, -2.915184736251831, 10.53035831451416, 30.866514205932617, 0.2253473699092865, 6.707211494445801, 20.62248992919922, -0.7906649112701416, 1.6783496141433716, 10.611776351928711, -6.210524082183838, -3.521740436553955, 6.360780715942383, -5.383861064910889, -2.5722641944885254, 7.239505290985107]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a02La.wav,boredom,She wants to hand that in on Wednesday,male,"[-287.35626220703125, 188.67764282226562, -22.67281150817871, 1.0324628353118896, 46.59699249267578, 6.7639665603637695, 8.16269302368164, 22.436120986938477, 0.9187709093093872, 7.026132106781006, 19.7261905670166, 5.094929218292236, 9.079450607299805, 14.866839408874512, -4.748885154724121, -4.751832485198975, 6.424027919769287, -3.8450093269348145, -1.773236870765686, 10.288853645324707]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a02Na.wav,neutral,She wants to hand that in on Wednesday,male,"[-356.81549072265625, 172.21595764160156, -31.852706909179688, 0.5921305418014526, 46.85637283325195, 3.808370590209961, 6.806031703948975, 22.913976669311523, -0.7320449352264404, 4.98480224609375, 19.2298526763916, 2.7358498573303223, 4.694690704345703, 13.096787452697754, -4.083021640777588, -5.299343109130859, 6.0742950439453125, -2.220327377319336, -2.306166887283325, 6.596560001373291]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a02Ta.wav,sadness,She wants to hand that in on Wednesday,male,"[-299.0002136230469, 162.7810821533203, -24.047828674316406, 7.821329116821289, 47.64021682739258, 6.025434970855713, 11.885769844055176, 28.379837036132812, 5.201247692108154, 8.854525566101074, 20.366073608398438, 6.130096435546875, 9.883472442626953, 14.317567825317383, -5.60431432723999, -5.222510814666748, 6.6440205574035645, -2.182879686355591, -0.8016687631607056, 9.280550956726074]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a02Wb.wav,anger,She wants to hand that in on Wednesday,male,"[-342.9420166015625, 151.32908630371094, -41.675113677978516, -13.535176277160645, 26.124799728393555, -13.905609130859375, -4.710876941680908, 16.26754379272461, -6.425881862640381, -7.2863030433654785, 3.175436496734619, -6.1632771492004395, 0.7774482369422913, 6.4895853996276855, -10.379044532775879, -10.256694793701172, -1.3430263996124268, -8.495132446289062, -6.0821309089660645, 0.750743567943573]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a02Wd.wav,anger,She wants to hand that in on Wednesday,male,"[-350.9000244140625, 143.80221557617188, -38.928009033203125, -8.355744361877441, 32.11725616455078, -6.107540607452393, 1.6592700481414795, 19.45159149169922, -4.007431983947754, -2.1552321910858154, 9.907326698303223, -3.9495627880096436, -0.7221549153327942, 8.730016708374023, -6.590142250061035, -10.968572616577148, -1.6080955266952515, -4.615138530731201, -4.047727584838867, -0.4114813208580017]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a04Ab.wav,anxiety/fear,I could tell him Tonight,male,"[-285.34271240234375, 189.88819885253906, -39.80656814575195, 5.048457145690918, 47.171875, -11.094197273254395, 2.616720199584961, 26.513671875, -4.368461608886719, 2.9004595279693604, 18.6210880279541, -0.6795201897621155, 6.436765670776367, 13.5647554397583, -12.384686470031738, -9.258871078491211, 8.81154727935791, -2.4534597396850586, -1.206116795539856, 10.843962669372559]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a04Ac.wav,anxiety/fear,I could tell him Tonight,male,"[-256.5933532714844, 173.2142333984375, -28.878435134887695, 2.253986358642578, 38.83353805541992, -8.468871116638184, 1.9905701875686646, 22.41942596435547, -4.059574604034424, 0.20781923830509186, 14.77264404296875, 0.09066976606845856, 5.372468948364258, 11.817556381225586, -10.540732383728027, -9.726118087768555, 7.965704441070557, 0.73163902759552, -2.5195913314819336, 4.569493770599365]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a04Fd.wav,happiness,I could tell him Tonight,male,"[-310.3973083496094, 176.1571502685547, -38.06754684448242, -4.7380547523498535, 33.6709098815918, -12.590595245361328, 3.9600071907043457, 23.802074432373047, -8.862506866455078, -3.778035879135132, 13.685274124145508, -1.707895040512085, 3.2784104347229004, 8.62788200378418, -14.099942207336426, -9.422483444213867, 8.661820411682129, -2.5308291912078857, -4.181890487670898, 5.892241954803467]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a04Nc.wav,neutral,I could tell him Tonight,male,"[-346.0113830566406, 207.0622100830078, -31.140356063842773, -1.397423505783081, 48.78965377807617, 1.4088256359100342, 4.696193218231201, 21.04555892944336, -6.898931980133057, -0.7439033389091492, 17.649486541748047, 4.175174713134766, 7.711758613586426, 13.29138469696045, -6.5109686851501465, -4.061130046844482, 8.965832710266113, -2.893848419189453, -2.883876085281372, 8.66584587097168]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a04Wa.wav,anger,I could tell him Tonight,male,"[-323.981201171875, 147.22682189941406, -41.984806060791016, -10.018060684204102, 29.70219612121582, -12.801337242126465, -5.422894477844238, 14.700092315673828, -7.231131076812744, -5.6793107986450195, 5.474825382232666, -5.191556453704834, 1.6356050968170166, 7.233092784881592, -11.249979019165039, -10.625343322753906, 1.265122890472412, -4.509929180145264, -2.882796049118042, 2.062234878540039]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a04Wb.wav,anger,I could tell him Tonight,male,"[-315.2085876464844, 144.90652465820312, -35.554603576660156, -11.012904167175293, 25.251142501831055, -14.07784366607666, -7.872518539428711, 13.056879997253418, -5.198780059814453, -4.477985382080078, 5.579589366912842, -4.610330104827881, 0.8003647923469543, 6.410852909088135, -11.563486099243164, -13.029407501220703, -0.5626036524772644, -3.8551783561706543, -2.959434986114502, 2.385632276535034]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a05Eb.wav,disgust,The black piece of paper is up there next to the piece of wood,male,"[-289.7098388671875, 139.93276977539062, -24.6809139251709, 3.519604206085205, 37.97084426879883, 2.5878520011901855, 9.449743270874023, 21.71021270751953, -0.7398198843002319, 4.8557305335998535, 15.297932624816895, -1.9572391510009766, -0.40545833110809326, 7.747897148132324, -6.484936714172363, -6.643570423126221, 4.027924537658691, -2.895110607147217, -4.592217922210693, 1.7081407308578491]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a05Fb.wav,happiness,The black piece of paper is up there next to the piece of wood,male,"[-327.0596618652344, 154.72227478027344, -36.023921966552734, -0.6011885404586792, 37.55094909667969, -5.408316135406494, 5.552981376647949, 19.68040657043457, -9.337135314941406, 0.14891576766967773, 15.885971069335938, -5.330817222595215, -2.175912857055664, 8.944682121276855, -12.357540130615234, -14.259721755981445, 3.846972703933716, -1.8241819143295288, -5.237792015075684, 2.1048386096954346]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a05Lb.wav,boredom,The black piece of paper is up there next to the piece of wood,male,"[-354.23260498046875, 153.86463928222656, -7.193957328796387, 2.96075439453125, 38.11465072631836, 13.391263961791992, 10.91981029510498, 17.0279598236084, 2.7427186965942383, 7.226866245269775, 13.413896560668945, 3.3154423236846924, 9.015844345092773, 12.354884147644043, -4.405220031738281, -3.730482816696167, 6.604326248168945, -1.476175308227539, -2.357022523880005, 6.704796314239502]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a05Na.wav,neutral,The black piece of paper is up there next to the piece of wood,male,"[-356.61065673828125, 173.16485595703125, -25.0694637298584, 0.9026263356208801, 47.663169860839844, 12.524740219116211, 11.447443008422852, 18.70186424255371, -2.3860247135162354, 7.1977972984313965, 17.59537124633789, 0.24892930686473846, 6.097099304199219, 13.01382827758789, -8.202832221984863, -7.289381504058838, 7.823117256164551, -2.267423629760742, -5.155289649963379, 5.386454105377197]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a05Wa.wav,anger,The black piece of paper is up there next to the piece of wood,male,"[-317.4222106933594, 151.93768310546875, -48.63477325439453, -7.745710372924805, 33.85361862182617, -14.334874153137207, -2.9489922523498535, 17.934669494628906, -10.142478942871094, -6.013463020324707, 8.565268516540527, -7.717884063720703, -2.8297030925750732, 6.636567115783691, -12.319696426391602, -13.397109031677246, 0.029959268867969513, -5.070443153381348, -3.5425539016723633, 2.868267297744751]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a07Ac.wav,anxiety/fear,It will be ready in seven hours,male,"[-295.9709167480469, 171.40585327148438, -41.2115592956543, 3.128695249557495, 44.66129684448242, -4.3851423263549805, 12.192927360534668, 28.335575103759766, -7.443393707275391, 2.337616205215454, 19.36293601989746, -3.9900121688842773, 1.5680140256881714, 13.473093032836914, -10.77867603302002, -11.956856727600098, 5.129378795623779, -4.4889068603515625, -6.822055339813232, 1.7851687669754028]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a07Eb.wav,disgust,It will be ready in seven hours,male,"[-306.752685546875, 154.71646118164062, -30.892621994018555, 18.247482299804688, 49.00226593017578, -2.8145360946655273, 18.122249603271484, 33.07959747314453, -6.458987236022949, 5.017716884613037, 25.781597137451172, 0.9334682822227478, 1.0008755922317505, 12.150665283203125, -6.4082512855529785, -5.893869400024414, 5.867552280426025, -5.473072528839111, -4.175528049468994, 4.9211344718933105]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a07Fa.wav,happiness,It will be ready in seven hours,male,"[-315.1675109863281, 144.58424377441406, -40.91899108886719, -5.6531758308410645, 31.047239303588867, -9.421298027038574, 6.424694538116455, 22.592716217041016, -10.069294929504395, -4.684260368347168, 13.206023216247559, -3.890104293823242, -1.6313742399215698, 7.076859951019287, -13.955635070800781, -15.478407859802246, 3.012612819671631, -1.2123721837997437, -5.481728553771973, -0.39318040013313293]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a07Fb.wav,happiness,It will be ready in seven hours,male,"[-345.38543701171875, 159.30557250976562, -31.839475631713867, 1.3025078773498535, 34.67085647583008, -6.449892997741699, 12.117213249206543, 26.317487716674805, -9.669611930847168, -2.9171531200408936, 16.52884292602539, -0.06639640033245087, 2.2843101024627686, 8.428654670715332, -12.156996726989746, -9.685834884643555, 5.208228588104248, -5.034738063812256, -5.263968467712402, 3.470623254776001]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a07Ld.wav,boredom,It will be ready in seven hours,male,"[-297.2867126464844, 174.74371337890625, -25.136329650878906, 6.719749450683594, 43.674903869628906, 0.4099987745285034, 12.470099449157715, 27.966358184814453, 0.10713659971952438, 7.49064302444458, 20.152753829956055, 2.877124786376953, 9.516777992248535, 14.05423641204834, -10.45772933959961, -6.013121604919434, 11.32016372680664, -1.9147132635116577, -3.4861886501312256, 10.194890975952148]"
datasources\EMO_DB\EMO_DB_DATA\wav\15a07Nc.wav,neutral,It will be ready in seven hours,male,"[-304.33917236328125, 180.5865936279297, -26.80246353149414, 3.8440561294555664, 49.46139907836914, 9.676756858825684, 13.922205924987793, 24.945533752441406, 0.09654151648283005, 8.183090209960938, 19.334823608398438, 2.4118523597717285, 9.448930740356445, 14.847970962524414, -9.27398681640625, -8.008561134338379, 8.136504173278809, -1.2713686227798462, -3.0436031818389893, 5.677644729614258]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b01Ec.wav,disgust,What kind of bags are there under the table,male,"[-262.3302917480469, 167.93971252441406, -55.521759033203125, 2.449883460998535, 46.59005355834961, -8.692219734191895, 15.739411354064941, 36.70386505126953, -5.1921916007995605, 3.1821062564849854, 20.604286193847656, -5.400230407714844, -0.30068302154541016, 11.227916717529297, -11.50338363647461, -7.021120548248291, 10.228132247924805, -3.591686248779297, -5.154850006103516, 4.068418025970459]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b01Lb.wav,boredom,What kind of bags are there under the table,male,"[-266.0342102050781, 181.9976806640625, -35.680667877197266, -5.095788478851318, 51.30122756958008, 15.504861831665039, 15.53038501739502, 27.77731704711914, 5.730186939239502, 11.1015043258667, 21.273530960083008, 4.448190212249756, 6.8660125732421875, 10.889630317687988, -7.634089469909668, -3.7703917026519775, 9.239789009094238, -1.6935127973556519, -0.42499637603759766, 10.549216270446777]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b01Na.wav,neutral,What kind of bags are there under the table,male,"[-314.9986572265625, 173.98716735839844, -37.24991989135742, -5.609475612640381, 45.46841049194336, 9.89439868927002, 14.1439847946167, 23.655658721923828, -0.3746957778930664, 9.703104972839355, 18.77627944946289, -3.04567289352417, 4.490906238555908, 14.942230224609375, -8.815546989440918, -10.401966094970703, 7.344472408294678, 0.21941328048706055, -4.145970821380615, 2.565546989440918]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b01Wc.wav,anger,What kind of bags are there under the table,male,"[-271.2221984863281, 151.36688232421875, -45.467430114746094, -6.1500468254089355, 36.9371452331543, -2.8899807929992676, 12.556638717651367, 29.122249603271484, -2.399132251739502, 0.7457718253135681, 12.03832721710205, -6.560266971588135, -0.40030190348625183, 10.165327072143555, -8.387846946716309, -8.786208152770996, 4.04328727722168, -2.5335001945495605, -3.3173234462738037, -0.470672070980072]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b02Aa.wav,anxiety/fear,They just carried it up and now they're going down again,male,"[-293.0018005371094, 165.0399627685547, -33.472251892089844, 4.204345703125, 44.2994384765625, -3.7246828079223633, 2.0831124782562256, 16.58281707763672, -8.229273796081543, 2.986586093902588, 16.120649337768555, -5.24044942855835, 2.0834383964538574, 15.256827354431152, -7.919085502624512, -12.893441200256348, 3.516625165939331, -0.3896642327308655, -2.628699779510498, 1.8054933547973633]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b02Lb.wav,boredom,They just carried it up and now they're going down again,male,"[-281.9247741699219, 167.69776916503906, -13.04758071899414, 8.789505004882812, 47.02115249633789, 9.489899635314941, 6.437825679779053, 14.604634284973145, -4.120715141296387, 4.650672912597656, 16.507553100585938, 3.095618486404419, 8.951741218566895, 14.42911434173584, -6.086195468902588, -4.308911323547363, 10.990646362304688, 0.8084930181503296, -1.202808141708374, 10.41243839263916]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b02Nd.wav,neutral,They just carried it up and now they're going down again,male,"[-353.0063781738281, 190.85446166992188, -24.179967880249023, 5.422643184661865, 50.432674407958984, 4.90444278717041, 5.817703723907471, 19.820329666137695, -2.684641122817993, 4.926575183868408, 16.67776107788086, 1.2108362913131714, 9.09805679321289, 15.68248462677002, -6.959096431732178, -5.457249164581299, 8.628289222717285, -2.8801257610321045, -3.3118882179260254, 7.8636298179626465]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b02Tc.wav,sadness,They just carried it up and now they're going down again,male,"[-295.4757995605469, 165.048828125, -17.1771240234375, 11.492952346801758, 49.86959457397461, 6.982451438903809, 7.380650520324707, 23.19675636291504, 3.998722553253174, 6.702563762664795, 16.36842918395996, 5.607985019683838, 11.940367698669434, 14.92191219329834, -4.627930164337158, -1.2045236825942993, 10.468913078308105, -2.0057709217071533, -1.2957874536514282, 10.975228309631348]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b02Wa.wav,anger,They just carried it up and now they're going down again,male,"[-294.61712646484375, 162.7772674560547, -36.35956954956055, 1.156524658203125, 39.35477066040039, -11.46471118927002, -2.546475410461426, 17.21211814880371, -11.88545036315918, -6.594374179840088, 12.1670503616333, -4.039364814758301, -1.7666759490966797, 10.608288764953613, -6.17850923538208, -11.951763153076172, -0.29069840908050537, -1.5636417865753174, -0.22526922821998596, 2.255307197570801]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b02Wc.wav,anger,They just carried it up and now they're going down again,male,"[-302.3398742675781, 149.18215942382812, -32.9913215637207, 0.38484129309654236, 32.59983444213867, -14.635000228881836, -4.022736072540283, 14.911591529846191, -13.39289379119873, -9.245414733886719, 8.133743286132812, -6.557138919830322, -3.2280824184417725, 8.989640235900879, -7.666828632354736, -13.841507911682129, -1.8850677013397217, -1.8595445156097412, -0.9587612152099609, 0.6061968207359314]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b03Aa.wav,anxiety/fear,I used to go home on the weekends and visit Agnes,male,"[-242.14306640625, 191.18914794921875, -49.30043411254883, 12.4658203125, 58.565330505371094, -11.975664138793945, 1.004980444908142, 26.44026756286621, -7.370024681091309, 4.878210067749023, 24.39995574951172, 0.5971022248268127, 8.05580997467041, 19.592153549194336, -7.251629829406738, -6.544356346130371, 11.453344345092773, 0.8059765100479126, 1.0208216905593872, 9.442891120910645]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b03Lc.wav,boredom,I used to go home on the weekends and visit Agnes,male,"[-308.0262451171875, 179.35025024414062, -11.017926216125488, 8.908214569091797, 48.49726486206055, 7.859058380126953, 2.66298770904541, 14.550926208496094, -2.3255834579467773, 3.392645835876465, 15.232848167419434, 5.086575984954834, 10.827393531799316, 14.9154052734375, -4.6104607582092285, -3.45876145362854, 8.838890075683594, -2.166978120803833, -3.1046504974365234, 9.229357719421387]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b03Nb.wav,neutral,I used to go home on the weekends and visit Agnes,male,"[-312.54022216796875, 185.09771728515625, -15.726409912109375, 7.189573764801025, 50.156368255615234, 8.083739280700684, 3.589900016784668, 15.894122123718262, -2.8880248069763184, 2.465867042541504, 14.718328475952148, 4.240395545959473, 10.176302909851074, 14.886861801147461, -4.385819435119629, -4.423745155334473, 6.668272972106934, -2.4032626152038574, -2.7681729793548584, 5.613759994506836]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b03Tc.wav,sadness,I used to go home on the weekends and visit Agnes,male,"[-341.3629150390625, 141.26397705078125, -6.935824871063232, 12.089204788208008, 43.49739074707031, 11.040132522583008, 9.495612144470215, 20.60877799987793, 4.471484184265137, 6.5632805824279785, 17.45973014831543, 10.136048316955566, 12.224736213684082, 13.995964050292969, -1.1240545511245728, -0.26343291997909546, 9.922414779663086, 2.210031032562256, 1.2759166955947876, 10.20555305480957]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b03Wa.wav,anger,I used to go home on the weekends and visit Agnes,male,"[-322.6155090332031, 168.86851501464844, -42.67223358154297, 0.05926668271422386, 42.14727020263672, -14.562943458557129, -8.917405128479004, 14.031396865844727, -10.209397315979004, -4.966207981109619, 8.615640640258789, -6.446534633636475, 2.309635877609253, 12.576805114746094, -9.277441024780273, -12.293499946594238, 0.9181667566299438, -3.483933925628662, -1.5127209424972534, 2.3745081424713135]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b03Wb.wav,anger,I used to go home on the weekends and visit Agnes,male,"[-295.1040954589844, 171.48095703125, -38.63982009887695, 2.5861575603485107, 42.30939865112305, -16.337177276611328, -10.68574333190918, 14.588659286499023, -9.399709701538086, -6.856693744659424, 5.908161640167236, -7.680572986602783, 2.0621042251586914, 13.068488121032715, -8.360848426818848, -12.143267631530762, 0.06219879910349846, -4.5866475105285645, -1.7656997442245483, 3.0258259773254395]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b09Ac.wav,anxiety/fear,I want to take that away and then go have a drink with Karl,male,"[-284.7893371582031, 173.7176513671875, -33.02042770385742, -0.7747817635536194, 41.21131134033203, -0.4316156208515167, 11.546737670898438, 28.555519104003906, -0.0018153253477066755, 4.638420104980469, 15.963807106018066, -2.7127792835235596, 4.08286714553833, 12.506213188171387, -11.630252838134766, -11.640374183654785, 6.633400917053223, -1.7408345937728882, -5.532950401306152, 2.812868118286133]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b09Fa.wav,happiness,I want to take that away and then go have a drink with Karl,male,"[-359.7998352050781, 168.808349609375, -36.23304748535156, -8.528162002563477, 35.12841796875, -0.8423601388931274, 9.935254096984863, 24.135852813720703, -3.490264654159546, 1.1904051303863525, 12.738024711608887, -3.9027099609375, 2.013662815093994, 8.815544128417969, -13.100728034973145, -11.79570484161377, 5.1996073722839355, -2.2318692207336426, -5.041224002838135, 1.297852635383606]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b09La.wav,boredom,I want to take that away and then go have a drink with Karl,male,"[-340.56829833984375, 171.3797607421875, -10.477188110351562, -0.20630276203155518, 37.86838912963867, 11.05065631866455, 12.91943073272705, 21.962905883789062, 2.397963047027588, 5.9548492431640625, 16.320859909057617, 6.014678478240967, 10.303516387939453, 13.14965534210205, -6.427308559417725, -5.861719608306885, 7.804638862609863, -0.5937349200248718, -2.3788022994995117, 8.587355613708496]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b09Nb.wav,neutral,I want to take that away and then go have a drink with Karl,male,"[-345.3753967285156, 183.49368286132812, -18.323293685913086, -6.39324426651001, 41.52987289428711, 14.375260353088379, 12.680447578430176, 24.125146865844727, 7.317311763763428, 7.993589878082275, 14.453950881958008, 4.305026531219482, 9.653417587280273, 12.38038444519043, -5.857311248779297, -4.742027282714844, 6.64050817489624, -2.0933923721313477, -2.8598008155822754, 6.745049476623535]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b09Ta.wav,sadness,I want to take that away and then go have a drink with Karl,male,"[-343.2827453613281, 155.7406005859375, -11.324187278747559, 3.416283130645752, 41.657188415527344, 13.419136047363281, 12.634686470031738, 24.517831802368164, 8.223740577697754, 7.633410930633545, 15.642460823059082, 8.736808776855469, 12.914124488830566, 14.445241928100586, -2.415135383605957, -2.8267743587493896, 6.018533706665039, -2.067568063735962, -1.7315573692321777, 8.178977966308594]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b09Wb.wav,anger,I want to take that away and then go have a drink with Karl,male,"[-351.5491943359375, 170.52920532226562, -50.41721725463867, -9.995817184448242, 37.94313430786133, -8.098124504089355, 6.331207275390625, 28.052248001098633, -5.0144853591918945, -5.272649765014648, 9.300614356994629, -4.692442417144775, 1.488089919090271, 9.483492851257324, -10.266716957092285, -9.76751708984375, 3.339944362640381, -3.9947314262390137, -3.8305258750915527, 0.9905135035514832]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b10Ac.wav,anxiety/fear,It will be in the place where we always put it,male,"[-292.21820068359375, 175.91650390625, -38.87187576293945, -0.9255461096763611, 41.77422332763672, -4.249182224273682, 10.55922794342041, 28.547365188598633, -3.7672231197357178, 3.1852409839630127, 16.73390007019043, -6.798641681671143, -0.5820081830024719, 13.654610633850098, -9.580463409423828, -12.951955795288086, 5.229219913482666, -1.3258501291275024, -5.425529956817627, 0.9634715914726257]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b10Lc.wav,boredom,It will be in the place where we always put it,male,"[-307.6891174316406, 188.1536102294922, -19.114498138427734, 4.7414093017578125, 49.69184494018555, 11.38590145111084, 13.45504093170166, 25.675256729125977, 1.8930803537368774, 6.997243881225586, 18.653076171875, 3.148132801055908, 7.973400115966797, 14.389893531799316, -6.682778835296631, -5.912200927734375, 9.582904815673828, -0.7549026608467102, -3.765209436416626, 8.042274475097656]"
datasources\EMO_DB\EMO_DB_DATA\wav\15b10Nb.wav,neutral,It will be in the place where we always put it,male,"[-314.5302734375, 199.0675506591797, -24.931140899658203, -1.6782130002975464, 50.408634185791016, 14.703304290771484, 15.26505184173584, 26.102375030517578, 3.8048601150512695, 9.759623527526855, 17.984041213989258, 1.1480768918991089, 9.402510643005371, 16.622501373291016, -6.414518356323242, -5.712070941925049, 9.89934253692627, -0.2153301239013672, -2.1377830505371094, 8.514464378356934]"
